"","time","close","high","low","open","volumefrom","volumeto"
"1",2019-07-29 13:00:00,9505.23,9516.39,9505.05,9516.39,22.01,209331.73
"2",2019-07-29 13:01:00,9507.35,9507.36,9502.75,9505.23,12.68,120550.62
"3",2019-07-29 13:02:00,9516.49,9516.49,9506.62,9507.35,38.07,362341.97
"4",2019-07-29 13:03:00,9548.65,9548.65,9516.49,9516.49,118.72,1132105.02
"5",2019-07-29 13:04:00,9531.57,9549.17,9530.33,9548.65,56.27,536620.61
"6",2019-07-29 13:05:00,9527.6,9531.88,9526.62,9531.57,5.882,56091.3
"7",2019-07-29 13:06:00,9521.37,9529.34,9520.84,9527.6,35.74,340054.09
"8",2019-07-29 13:07:00,9522.41,9522.41,9515.87,9521.37,15.4,146521
"9",2019-07-29 13:08:00,9522.05,9523.27,9520.43,9522.41,11.15,106133.27
"10",2019-07-29 13:09:00,9522.51,9523.26,9521.35,9522.05,19.69,187395.36
"11",2019-07-29 13:10:00,9506.24,9522.51,9506.24,9522.51,47.49,451382.28
"12",2019-07-29 13:11:00,9498.68,9506.24,9480.21,9506.24,140.8,1335449.72
"13",2019-07-29 13:12:00,9499.42,9500.28,9496.88,9498.68,12.82,121747.75
"14",2019-07-29 13:13:00,9497.73,9500.47,9497.45,9499.42,12.9,122466.12
"15",2019-07-29 13:14:00,9500.05,9501.26,9492.33,9497.73,15.12,143587.61
"16",2019-07-29 13:15:00,9500.52,9501.85,9500.05,9500.05,5.919,56258.34
"17",2019-07-29 13:16:00,9500.96,9502.03,9499.09,9500.52,8.474,80523.73
"18",2019-07-29 13:17:00,9502.27,9503.07,9500.9,9500.96,3.638,34552.98
"19",2019-07-29 13:18:00,9500.87,9502.32,9500.87,9502.27,2.449,23336.94
"20",2019-07-29 13:19:00,9503.64,9504.61,9500.87,9500.87,10.09,95957.11
"21",2019-07-29 13:20:00,9506.88,9506.94,9503.62,9503.64,7.151,68004.63
"22",2019-07-29 13:21:00,9514.07,9514.07,9506.88,9506.88,22.71,215922.84
"23",2019-07-29 13:22:00,9510.4,9514.07,9506.52,9514.07,31.33,299710.56
"24",2019-07-29 13:23:00,9509.21,9510.4,9508.05,9510.4,5.391,51227.87
"25",2019-07-29 13:24:00,9508.8,9510.36,9507.37,9509.21,27.07,257305.42
"26",2019-07-29 13:25:00,9510.81,9511.64,9508.8,9508.8,10.47,99462.55
"27",2019-07-29 13:26:00,9514.39,9515.08,9510.72,9510.81,20.08,190789.39
