Series;Time;Value
Fees in satoshis / TX;2017-07-16T19:00:00.000Z;82126.4452972273
Fees in satoshis / TX;2017-07-17T13:30:00.000Z;81432.404935499
Fees in satoshis / TX;2017-07-18T08:00:00.000Z;89121.65679159641
Fees in satoshis / TX;2017-07-19T02:30:00.000Z;80048.30981446849
Fees in satoshis / TX;2017-07-19T21:00:00.000Z;88012.18666464023
Fees in satoshis / TX;2017-07-20T15:30:00.000Z;99358.8867996622
Fees in satoshis / TX;2017-07-21T10:00:00.000Z;90507.52874495505
Fees in satoshis / TX;2017-07-22T04:30:00.000Z;80209.20667481842
Fees in satoshis / TX;2017-07-22T23:00:00.000Z;67436.9933421531
Fees in satoshis / TX;2017-07-23T17:30:00.000Z;67672.56172910343
Fees in satoshis / TX;2017-07-24T12:00:00.000Z;68261.44401230279
Fees in satoshis / TX;2017-07-25T06:30:00.000Z;69631.92241465398
Fees in satoshis / TX;2017-07-26T01:00:00.000Z;71264.08024391788
Fees in satoshis / TX;2017-07-26T19:30:00.000Z;70836.92780230875
Fees in satoshis / TX;2017-07-27T14:00:00.000Z;75729.29470062972
Fees in satoshis / TX;2017-07-28T08:30:00.000Z;76372.5070123076
Fees in satoshis / TX;2017-07-29T03:00:00.000Z;76353.97079656819
Fees in satoshis / TX;2017-07-29T21:30:00.000Z;72635.13874754398
Fees in satoshis / TX;2017-07-30T16:00:00.000Z;83752.31351606987
Fees in satoshis / TX;2017-07-31T10:30:00.000Z;86602.2170785332
Fees in satoshis / TX;2017-08-01T05:00:00.000Z;50196.12500320054
Fees in satoshis / TX;2017-08-01T23:30:00.000Z;58402.57327437933
Fees in satoshis / TX;2017-08-02T18:00:00.000Z;58230.140771247825
Fees in satoshis / TX;2017-08-03T12:30:00.000Z;54093.93365865106
Fees in satoshis / TX;2017-08-04T07:00:00.000Z;49525.36417515219
Fees in satoshis / TX;2017-08-05T01:30:00.000Z;46750.19579495622
Fees in satoshis / TX;2017-08-05T20:00:00.000Z;44756.62400403226
Fees in satoshis / TX;2017-08-06T14:30:00.000Z;41980.62188944363
Fees in satoshis / TX;2017-08-07T09:00:00.000Z;54067.81684957471
Fees in satoshis / TX;2017-08-08T03:30:00.000Z;55248.22568821983
Fees in satoshis / TX;2017-08-08T22:00:00.000Z;58144.88789751407
Fees in satoshis / TX;2017-08-09T16:30:00.000Z;71211.6365929655
Fees in satoshis / TX;2017-08-10T11:00:00.000Z;79206.68856539926
Fees in satoshis / TX;2017-08-11T05:30:00.000Z;82574.27008415872
Fees in satoshis / TX;2017-08-12T00:00:00.000Z;84816.46968111713
Fees in satoshis / TX;2017-08-12T18:30:00.000Z;77859.50064794958
Fees in satoshis / TX;2017-08-13T13:00:00.000Z;70836.71310201986
Fees in satoshis / TX;2017-08-14T07:30:00.000Z;99928.22639982798
Fees in satoshis / TX;2017-08-15T02:00:00.000Z;110142.15451457624
Fees in satoshis / TX;2017-08-15T20:30:00.000Z;118528.84056042838
Fees in satoshis / TX;2017-08-16T15:00:00.000Z;123266.59167751703
Fees in satoshis / TX;2017-08-17T09:30:00.000Z;107537.87504991256
Fees in satoshis / TX;2017-08-18T04:00:00.000Z;113795.57547831966
Fees in satoshis / TX;2017-08-18T22:30:00.000Z;106979.28504323322
Fees in satoshis / TX;2017-08-19T17:00:00.000Z;95492.37171359565
Fees in satoshis / TX;2017-08-20T11:30:00.000Z;103291.62107571389
Fees in satoshis / TX;2017-08-21T06:00:00.000Z;122986.92459579777
Fees in satoshis / TX;2017-08-22T00:30:00.000Z;147835.2234126368
Fees in satoshis / TX;2017-08-22T19:00:00.000Z;172261.71153581113
Fees in satoshis / TX;2017-08-23T13:30:00.000Z;170301.9189192845
Fees in satoshis / TX;2017-08-24T08:00:00.000Z;178556.47420933913
Fees in satoshis / TX;2017-08-25T02:30:00.000Z;194463.700448677
Fees in satoshis / TX;2017-08-25T21:00:00.000Z;194476.28773285207
Fees in satoshis / TX;2017-08-26T15:30:00.000Z;187823.8055460207
Fees in satoshis / TX;2017-08-27T10:00:00.000Z;146855.08452797585
Fees in satoshis / TX;2017-08-28T04:30:00.000Z;163222.2205423365
Fees in satoshis / TX;2017-08-28T23:00:00.000Z;164129.37816650773
Fees in satoshis / TX;2017-08-29T17:30:00.000Z;159325.2576932916
Fees in satoshis / TX;2017-08-30T12:00:00.000Z;141859.9681681283
Fees in satoshis / TX;2017-08-31T06:30:00.000Z;152513.1624395243
Fees in satoshis / TX;2017-09-01T01:00:00.000Z;139985.86604121877
Fees in satoshis / TX;2017-09-01T19:30:00.000Z;127612.43310818904
Fees in satoshis / TX;2017-09-02T14:00:00.000Z;125876.52679078736
Fees in satoshis / TX;2017-09-03T08:30:00.000Z;115232.21650070866
Fees in satoshis / TX;2017-09-04T03:00:00.000Z;123085.28454722531
Fees in satoshis / TX;2017-09-04T21:30:00.000Z;108050.06159916025
Fees in satoshis / TX;2017-09-05T16:00:00.000Z;94067.23949684028
Fees in satoshis / TX;2017-09-06T10:30:00.000Z;102932.12575036807
Fees in satoshis / TX;2017-09-07T05:00:00.000Z;96736.57649917745
Fees in satoshis / TX;2017-09-07T23:30:00.000Z;81412.7513698445
Fees in satoshis / TX;2017-09-08T18:00:00.000Z;70885.45831389487
Fees in satoshis / TX;2017-09-09T12:30:00.000Z;68078.33078090771
Fees in satoshis / TX;2017-09-10T07:00:00.000Z;72533.06585066517
Fees in satoshis / TX;2017-09-11T01:30:00.000Z;64748.56596799537
Fees in satoshis / TX;2017-09-11T20:00:00.000Z;59843.05269525497
Fees in satoshis / TX;2017-09-12T14:30:00.000Z;56652.20009822781
