Series;Time;Value
txCacheSize;2019-06-17T11:30:00.000Z;10253.246666666668
txCacheSize;2019-06-17T12:20:00.000Z;8711.68
txCacheSize;2019-06-17T13:10:00.000Z;10432.08
txCacheSize;2019-06-17T14:00:00.000Z;11120.630000000001
txCacheSize;2019-06-17T14:50:00.000Z;11392.006666666666
txCacheSize;2019-06-17T15:40:00.000Z;9516.393333333333
txCacheSize;2019-06-17T16:30:00.000Z;8153.713333333333
txCacheSize;2019-06-17T17:20:00.000Z;11891.253333333332
txCacheSize;2019-06-17T18:10:00.000Z;10937.556666666667
txCacheSize;2019-06-17T19:00:00.000Z;12558.216666666667
txCacheSize;2019-06-17T19:50:00.000Z;9576.963333333333
txCacheSize;2019-06-17T20:40:00.000Z;11056.26
txCacheSize;2019-06-17T21:30:00.000Z;10224.893333333333
txCacheSize;2019-06-17T22:20:00.000Z;9292.923333333334
txCacheSize;2019-06-17T23:10:00.000Z;11683
txCacheSize;2019-06-18T00:00:00.000Z;10383.82
txCacheSize;2019-06-18T00:50:00.000Z;11324.173333333334
txCacheSize;2019-06-18T01:40:00.000Z;12622.933333333332
txCacheSize;2019-06-18T02:30:00.000Z;10476.596666666668
txCacheSize;2019-06-18T03:20:00.000Z;11225.256666666668
txCacheSize;2019-06-18T04:10:00.000Z;11323.783333333331
txCacheSize;2019-06-18T05:00:00.000Z;10307.956666666667
txCacheSize;2019-06-18T05:50:00.000Z;9839.176666666666
txCacheSize;2019-06-18T06:40:00.000Z;10166.64
txCacheSize;2019-06-18T07:30:00.000Z;10813.483333333334
txCacheSize;2019-06-18T08:20:00.000Z;10412.483333333334
txCacheSize;2019-06-18T09:10:00.000Z;11902.92
txCacheSize;2019-06-18T10:00:00.000Z;10562.279999999999
txCacheSize;2019-06-18T10:50:00.000Z;10640.320000000002
txCacheSize;2019-06-18T11:40:00.000Z;10972.556666666667
txCacheSize;2019-06-18T12:30:00.000Z;10157.366666666667
txCacheSize;2019-06-18T13:20:00.000Z;8221.803333333333
txCacheSize;2019-06-18T14:10:00.000Z;8654.59
txCacheSize;2019-06-18T15:00:00.000Z;9841.45
txCacheSize;2019-06-18T15:50:00.000Z;10165.206666666667
txCacheSize;2019-06-18T16:40:00.000Z;9312.786666666667
txCacheSize;2019-06-18T17:30:00.000Z;10041.36
txCacheSize;2019-06-18T18:20:00.000Z;11127.41
txCacheSize;2019-06-18T19:10:00.000Z;11509.55
txCacheSize;2019-06-18T20:00:00.000Z;11912.64
txCacheSize;2019-06-18T20:50:00.000Z;11508.256666666666
txCacheSize;2019-06-18T21:40:00.000Z;9834.893333333333
txCacheSize;2019-06-18T22:30:00.000Z;10564.029999999999
txCacheSize;2019-06-18T23:20:00.000Z;9027.566666666668
txCacheSize;2019-06-19T00:10:00.000Z;9098.156666666666
txCacheSize;2019-06-19T01:00:00.000Z;9881.57
txCacheSize;2019-06-19T01:50:00.000Z;11310.203333333335
txCacheSize;2019-06-19T02:40:00.000Z;10361.29
txCacheSize;2019-06-19T03:30:00.000Z;8490.836666666666
txCacheSize;2019-06-19T04:20:00.000Z;10686.473333333333
txCacheSize;2019-06-19T05:10:00.000Z;10583.846666666666
txCacheSize;2019-06-19T06:00:00.000Z;9823.066666666666
txCacheSize;2019-06-19T06:50:00.000Z;9146.413333333334
txCacheSize;2019-06-19T07:40:00.000Z;10919.939999999999
txCacheSize;2019-06-19T08:30:00.000Z;10555.083333333334
txCacheSize;2019-06-19T09:20:00.000Z;8801.960000000001
txCacheSize;2019-06-19T10:10:00.000Z;10339.033333333335
txCacheSize;2019-06-19T11:00:00.000Z;9589.74
txCacheSize;2019-06-19T11:50:00.000Z;11485.966666666667
txCacheSize;2019-06-19T12:40:00.000Z;11012.72
txCacheSize;2019-06-19T13:30:00.000Z;6874.3
txCacheSize;2019-06-19T14:20:00.000Z;12638.996666666666
txCacheSize;2019-06-19T15:10:00.000Z;9953.843333333334
txCacheSize;2019-06-19T16:00:00.000Z;9816.526666666667
txCacheSize;2019-06-19T16:50:00.000Z;9965.883333333333
txCacheSize;2019-06-19T17:40:00.000Z;7687.153333333333
txCacheSize;2019-06-19T18:30:00.000Z;9701.586666666666
txCacheSize;2019-06-19T19:20:00.000Z;8516.06
txCacheSize;2019-06-19T20:10:00.000Z;7773.817999999999
txCacheSize;2019-06-19T21:00:00.000Z;5167.539999999999
txCacheSize;2019-06-19T21:50:00.000Z;10109.286666666667
txCacheSize;2019-06-19T22:40:00.000Z;8800.646666666666
txCacheSize;2019-06-19T23:30:00.000Z;5498.826666666667
txCacheSize;2019-06-20T00:20:00.000Z;3704.7633333333333
txCacheSize;2019-06-20T01:10:00.000Z;7751.533333333333
txCacheSize;2019-06-20T02:00:00.000Z;9694.586666666666
txCacheSize;2019-06-20T02:50:00.000Z;13729.87
txCacheSize;2019-06-20T03:40:00.000Z;14355.476666666666
txCacheSize;2019-06-20T04:30:00.000Z;11821.966666666667
txCacheSize;2019-06-20T05:20:00.000Z;11037.73
txCacheSize;2019-06-20T06:10:00.000Z;11950.48
txCacheSize;2019-06-20T07:00:00.000Z;11809.056666666667
txCacheSize;2019-06-20T07:50:00.000Z;10845.390000000001
txCacheSize;2019-06-20T08:40:00.000Z;11125.47
txCacheSize;2019-06-20T09:30:00.000Z;9934.86
txCacheSize;2019-06-20T10:20:00.000Z;10482.926666666668
txCacheSize;2019-06-20T11:10:00.000Z;11553.526666666667
txCacheSize;2019-06-20T12:00:00.000Z;9859.95
txCacheSize;2019-06-20T12:50:00.000Z;9101.95
txCacheSize;2019-06-20T13:40:00.000Z;9754.45
txCacheSize;2019-06-20T14:30:00.000Z;11772.720000000001
txCacheSize;2019-06-20T15:20:00.000Z;11623.35
txCacheSize;2019-06-20T16:10:00.000Z;11197.826666666666
txCacheSize;2019-06-20T17:00:00.000Z;10945.466666666665
txCacheSize;2019-06-20T17:50:00.000Z;11506.453333333333
txCacheSize;2019-06-20T18:40:00.000Z;11869.536666666667
txCacheSize;2019-06-20T19:30:00.000Z;10770.956666666667
txCacheSize;2019-06-20T20:20:00.000Z;9798.836666666666
txCacheSize;2019-06-20T21:10:00.000Z;9050.126666666667
txCacheSize;2019-06-20T22:00:00.000Z;10643.220000000001
txCacheSize;2019-06-20T22:50:00.000Z;10809.109999999999
txCacheSize;2019-06-20T23:40:00.000Z;10429.35
txCacheSize;2019-06-21T00:30:00.000Z;11236.539999999999
txCacheSize;2019-06-21T01:20:00.000Z;11254.546666666667
txCacheSize;2019-06-21T02:10:00.000Z;13092.01
txCacheSize;2019-06-21T03:00:00.000Z;12909.593333333334
txCacheSize;2019-06-21T03:50:00.000Z;10573.986666666668
txCacheSize;2019-06-21T04:40:00.000Z;10951.8
txCacheSize;2019-06-21T05:30:00.000Z;10394.6
txCacheSize;2019-06-21T06:20:00.000Z;11861.483333333334
txCacheSize;2019-06-21T07:10:00.000Z;11553.076666666666
txCacheSize;2019-06-21T08:00:00.000Z;11631.686666666666
txCacheSize;2019-06-21T08:50:00.000Z;13539.743333333336
txCacheSize;2019-06-21T09:40:00.000Z;10649.183333333334
txCacheSize;2019-06-21T10:30:00.000Z;10196.483333333334
txCacheSize;2019-06-21T11:20:00.000Z;11228.406666666666
txCacheSize;2019-06-21T12:10:00.000Z;11307.84
txCacheSize;2019-06-21T13:00:00.000Z;9297.41
txCacheSize;2019-06-21T13:50:00.000Z;11637.756666666668
txCacheSize;2019-06-21T14:40:00.000Z;12050.453333333335
txCacheSize;2019-06-21T15:30:00.000Z;10215.529999999999
txCacheSize;2019-06-21T16:20:00.000Z;9180.240000000002
txCacheSize;2019-06-21T17:10:00.000Z;9859.576666666666
txCacheSize;2019-06-21T18:00:00.000Z;9398.403333333332
txCacheSize;2019-06-21T18:50:00.000Z;12107.756666666666
txCacheSize;2019-06-21T19:40:00.000Z;12983.166666666668
txCacheSize;2019-06-21T20:30:00.000Z;11111.293333333331
txCacheSize;2019-06-21T21:20:00.000Z;10319.776666666667
txCacheSize;2019-06-21T22:10:00.000Z;10824.939999999999
txCacheSize;2019-06-21T23:00:00.000Z;10311.916666666668
txCacheSize;2019-06-21T23:50:00.000Z;10720.519999999999
txCacheSize;2019-06-22T00:40:00.000Z;11802.316666666668
txCacheSize;2019-06-22T01:30:00.000Z;12203.490000000002
txCacheSize;2019-06-22T02:20:00.000Z;9758.526666666667
txCacheSize;2019-06-22T03:10:00.000Z;10103.813333333334
txCacheSize;2019-06-22T04:00:00.000Z;10866.553333333333
txCacheSize;2019-06-22T04:50:00.000Z;9379.806666666667
txCacheSize;2019-06-22T05:40:00.000Z;9733.066666666668
txCacheSize;2019-06-22T06:30:00.000Z;11476.643333333332
txCacheSize;2019-06-22T07:20:00.000Z;10987.986666666668
txCacheSize;2019-06-22T08:10:00.000Z;10979.45
txCacheSize;2019-06-22T09:00:00.000Z;9787.176666666666
txCacheSize;2019-06-22T09:50:00.000Z;11997.836666666666
txCacheSize;2019-06-22T10:40:00.000Z;13314.720000000001
txCacheSize;2019-06-22T11:30:00.000Z;12008.679999999998
txCacheSize;2019-06-22T12:20:00.000Z;11332.898666666666
txCacheSize;2019-06-22T13:10:00.000Z;11554.243333333334
txCacheSize;2019-06-22T14:00:00.000Z;9030.04
txCacheSize;2019-06-22T14:50:00.000Z;7282.263333333333
txCacheSize;2019-06-22T15:40:00.000Z;11287.753333333332
txCacheSize;2019-06-22T16:30:00.000Z;12076.53
txCacheSize;2019-06-22T17:20:00.000Z;10290.025333333333
txCacheSize;2019-06-22T18:10:00.000Z;9162.383333333335
txCacheSize;2019-06-22T19:00:00.000Z;11303.650000000001
txCacheSize;2019-06-22T19:50:00.000Z;10228.03
txCacheSize;2019-06-22T20:40:00.000Z;10219.503333333332
txCacheSize;2019-06-22T21:30:00.000Z;10168.226666666667
txCacheSize;2019-06-22T22:20:00.000Z;9262.633333333335
txCacheSize;2019-06-22T23:10:00.000Z;10388.976666666666
txCacheSize;2019-06-23T00:00:00.000Z;10648.943333333333
txCacheSize;2019-06-23T00:50:00.000Z;10362.143333333335
txCacheSize;2019-06-23T01:40:00.000Z;9077.43
txCacheSize;2019-06-23T02:30:00.000Z;9884.3
txCacheSize;2019-06-23T03:20:00.000Z;10110.133333333335
txCacheSize;2019-06-23T04:10:00.000Z;9272.380000000001
txCacheSize;2019-06-23T05:00:00.000Z;8735.523333333334
txCacheSize;2019-06-23T05:50:00.000Z;9064.886666666667
txCacheSize;2019-06-23T06:40:00.000Z;9186.866666666665
txCacheSize;2019-06-23T07:30:00.000Z;8059.553333333332
txCacheSize;2019-06-23T08:20:00.000Z;7867.35
txCacheSize;2019-06-23T09:10:00.000Z;9498.34
txCacheSize;2019-06-23T10:00:00.000Z;9193.226666666666
txCacheSize;2019-06-23T10:50:00.000Z;10127.66
txCacheSize;2019-06-23T11:40:00.000Z;9616.033333333333
txCacheSize;2019-06-23T12:30:00.000Z;9963.850000000002
txCacheSize;2019-06-23T13:20:00.000Z;7789.880000000002
txCacheSize;2019-06-23T14:10:00.000Z;10164.073333333334
txCacheSize;2019-06-23T15:00:00.000Z;7975.066666666668
txCacheSize;2019-06-23T15:50:00.000Z;8333.963333333333
txCacheSize;2019-06-23T16:40:00.000Z;10530.346666666668
txCacheSize;2019-06-23T17:30:00.000Z;9955.893333333333
txCacheSize;2019-06-23T18:20:00.000Z;7346.196666666668
txCacheSize;2019-06-23T19:10:00.000Z;7365.663333333333
txCacheSize;2019-06-23T20:00:00.000Z;5675.396666666667
txCacheSize;2019-06-23T20:50:00.000Z;6693.45
txCacheSize;2019-06-23T21:40:00.000Z;11089.273333333334
txCacheSize;2019-06-23T22:30:00.000Z;7852.723333333333
txCacheSize;2019-06-23T23:20:00.000Z;6789.496666666668
txCacheSize;2019-06-24T00:10:00.000Z;3799.0666666666666
txCacheSize;2019-06-24T01:00:00.000Z;5263.68
txCacheSize;2019-06-24T01:50:00.000Z;9946.45
txCacheSize;2019-06-24T02:40:00.000Z;8454.176666666666
txCacheSize;2019-06-24T03:30:00.000Z;9984.076666666666
txCacheSize;2019-06-24T04:20:00.000Z;11103.033333333335
txCacheSize;2019-06-24T05:10:00.000Z;9748.93
txCacheSize;2019-06-24T06:00:00.000Z;7918.18
txCacheSize;2019-06-24T06:50:00.000Z;10414.323333333334
txCacheSize;2019-06-24T07:40:00.000Z;9588.303333333333
txCacheSize;2019-06-24T08:30:00.000Z;9180.046666666667
txCacheSize;2019-06-24T09:20:00.000Z;10015.366666666667
txCacheSize;2019-06-24T10:10:00.000Z;10184.093333333334
txCacheSize;2019-06-24T11:00:00.000Z;8242.89
txCacheSize;2019-06-24T11:50:00.000Z;9229.496666666668
txCacheSize;2019-06-24T12:40:00.000Z;10552.14
txCacheSize;2019-06-24T13:30:00.000Z;10071.813333333334
txCacheSize;2019-06-24T14:20:00.000Z;9075.539999999999
txCacheSize;2019-06-24T15:10:00.000Z;11291.106666666668
txCacheSize;2019-06-24T16:00:00.000Z;10555.556666666665
txCacheSize;2019-06-24T16:50:00.000Z;10558.706666666667
txCacheSize;2019-06-24T17:40:00.000Z;7499.910000000001
txCacheSize;2019-06-24T18:30:00.000Z;10654.016666666666
txCacheSize;2019-06-24T19:20:00.000Z;8357.97
txCacheSize;2019-06-24T20:10:00.000Z;10261.986666666668
txCacheSize;2019-06-24T21:00:00.000Z;11617.976666666666
txCacheSize;2019-06-24T21:50:00.000Z;9783.613333333333
txCacheSize;2019-06-24T22:40:00.000Z;9791.333333333332
txCacheSize;2019-06-24T23:30:00.000Z;9745.756666666666
txCacheSize;2019-06-25T00:20:00.000Z;11103.34
txCacheSize;2019-06-25T01:10:00.000Z;13951.25
txCacheSize;2019-06-25T02:00:00.000Z;5786.04
txCacheSize;2019-06-25T02:50:00.000Z;12385.813333333334
txCacheSize;2019-06-25T03:40:00.000Z;12655.920000000002
txCacheSize;2019-06-25T04:30:00.000Z;10751.386666666667
txCacheSize;2019-06-25T05:20:00.000Z;10157.533333333335
txCacheSize;2019-06-25T06:10:00.000Z;10232.24
txCacheSize;2019-06-25T07:00:00.000Z;9914.76
txCacheSize;2019-06-25T07:50:00.000Z;10452.473333333333
txCacheSize;2019-06-25T08:40:00.000Z;11169.03
txCacheSize;2019-06-25T09:30:00.000Z;10921.143333333333
txCacheSize;2019-06-25T10:20:00.000Z;10823.106666666667
txCacheSize;2019-06-25T11:10:00.000Z;11362.853333333333
txCacheSize;2019-06-25T12:00:00.000Z;10508.013333333332
txCacheSize;2019-06-25T12:50:00.000Z;11263.146666666667
txCacheSize;2019-06-25T13:40:00.000Z;11882.040000000003
txCacheSize;2019-06-25T14:30:00.000Z;11427.534
txCacheSize;2019-06-25T15:20:00.000Z;9509.789999999999
txCacheSize;2019-06-25T16:10:00.000Z;12219.946666666667
txCacheSize;2019-06-25T17:00:00.000Z;13070.213333333333
txCacheSize;2019-06-25T17:50:00.000Z;11646.343333333334
txCacheSize;2019-06-25T18:40:00.000Z;12342.363333333333
txCacheSize;2019-06-25T19:30:00.000Z;11434.24
txCacheSize;2019-06-25T20:20:00.000Z;10449.653333333332
txCacheSize;2019-06-25T21:10:00.000Z;10798.446666666667
txCacheSize;2019-06-25T22:00:00.000Z;13232.603333333336
txCacheSize;2019-06-25T22:50:00.000Z;10741.77
txCacheSize;2019-06-25T23:40:00.000Z;10102.740000000002
txCacheSize;2019-06-26T00:30:00.000Z;10993.9
txCacheSize;2019-06-26T01:20:00.000Z;11348.51
txCacheSize;2019-06-26T02:10:00.000Z;10222.263333333332
txCacheSize;2019-06-26T03:00:00.000Z;10303.74
txCacheSize;2019-06-26T03:50:00.000Z;10454.906666666666
txCacheSize;2019-06-26T04:40:00.000Z;9249.54
txCacheSize;2019-06-26T05:30:00.000Z;11637.93
txCacheSize;2019-06-26T06:20:00.000Z;11582.543333333333
txCacheSize;2019-06-26T07:10:00.000Z;11038.606666666668
txCacheSize;2019-06-26T08:00:00.000Z;10744.066666666666
txCacheSize;2019-06-26T08:50:00.000Z;12112.953333333333
txCacheSize;2019-06-26T09:40:00.000Z;10963.473333333333
txCacheSize;2019-06-26T10:30:00.000Z;11458.316666666666
txCacheSize;2019-06-26T11:20:00.000Z;10423.720000000001
txCacheSize;2019-06-26T12:10:00.000Z;10423.216666666665
txCacheSize;2019-06-26T13:00:00.000Z;9053.533333333333
txCacheSize;2019-06-26T13:50:00.000Z;9501.236666666668
txCacheSize;2019-06-26T14:40:00.000Z;11995.719999999998
txCacheSize;2019-06-26T15:30:00.000Z;11330.2
txCacheSize;2019-06-26T16:20:00.000Z;11529.560000000001
txCacheSize;2019-06-26T17:10:00.000Z;11068.763333333332
txCacheSize;2019-06-26T18:00:00.000Z;10517.876666666667
txCacheSize;2019-06-26T18:50:00.000Z;10726.320000000002
txCacheSize;2019-06-26T19:40:00.000Z;9630.579999999998
txCacheSize;2019-06-26T20:30:00.000Z;9091.006666666666
txCacheSize;2019-06-26T21:20:00.000Z;11190.403333333335
txCacheSize;2019-06-26T22:10:00.000Z;11210.143333333332
txCacheSize;2019-06-26T23:00:00.000Z;11391.65
txCacheSize;2019-06-26T23:50:00.000Z;10408.966666666665
txCacheSize;2019-06-27T00:40:00.000Z;10484.436666666666
txCacheSize;2019-06-27T01:30:00.000Z;11773.850000000002
txCacheSize;2019-06-27T02:20:00.000Z;10519.486666666668
txCacheSize;2019-06-27T03:10:00.000Z;12247.266666666666
txCacheSize;2019-06-27T04:00:00.000Z;10841.960000000001
txCacheSize;2019-06-27T04:50:00.000Z;10235.953333333333
txCacheSize;2019-06-27T05:40:00.000Z;11248.34
txCacheSize;2019-06-27T06:30:00.000Z;10899.506666666666
txCacheSize;2019-06-27T07:20:00.000Z;11109.633333333335
txCacheSize;2019-06-27T08:10:00.000Z;10349.023333333334
txCacheSize;2019-06-27T09:00:00.000Z;10216.283333333333
txCacheSize;2019-06-27T09:50:00.000Z;11740.713333333333
txCacheSize;2019-06-27T10:40:00.000Z;10904.826666666666
txCacheSize;2019-06-27T11:30:00.000Z;10933.05
txCacheSize;2019-06-27T12:20:00.000Z;9702
txCacheSize;2019-06-27T13:10:00.000Z;11668.53
txCacheSize;2019-06-27T14:00:00.000Z;9050.546666666667
txCacheSize;2019-06-27T14:50:00.000Z;9218.5
txCacheSize;2019-06-27T15:40:00.000Z;11238.926666666666
txCacheSize;2019-06-27T16:30:00.000Z;10709.786666666667
txCacheSize;2019-06-27T17:20:00.000Z;11912.813333333334
txCacheSize;2019-06-27T18:10:00.000Z;11424.053333333333
txCacheSize;2019-06-27T19:00:00.000Z;9967.503333333332
txCacheSize;2019-06-27T19:50:00.000Z;10943.063333333334
txCacheSize;2019-06-27T20:40:00.000Z;11127.913333333334
txCacheSize;2019-06-27T21:30:00.000Z;11518.97
txCacheSize;2019-06-27T22:20:00.000Z;8245.59
txCacheSize;2019-06-27T23:10:00.000Z;11395.609999999997
txCacheSize;2019-06-28T00:00:00.000Z;10574.306666666667
txCacheSize;2019-06-28T00:50:00.000Z;9444.663333333334
txCacheSize;2019-06-28T01:40:00.000Z;10542.759999999998
txCacheSize;2019-06-28T02:30:00.000Z;10306.406666666668
txCacheSize;2019-06-28T03:20:00.000Z;10441.913333333334
txCacheSize;2019-06-28T04:10:00.000Z;10619.21
txCacheSize;2019-06-28T05:00:00.000Z;9389.366666666667
txCacheSize;2019-06-28T05:50:00.000Z;10062.176666666666
txCacheSize;2019-06-28T06:40:00.000Z;11229.146666666666
txCacheSize;2019-06-28T07:30:00.000Z;10010.683333333332
txCacheSize;2019-06-28T08:20:00.000Z;11271.973333333333
txCacheSize;2019-06-28T09:10:00.000Z;11345.320000000002
txCacheSize;2019-06-28T10:00:00.000Z;12012.883333333335
txCacheSize;2019-06-28T10:50:00.000Z;12921.503333333332
txCacheSize;2019-06-28T11:40:00.000Z;11701.920000000002
txCacheSize;2019-06-28T12:30:00.000Z;11852.046666666667
txCacheSize;2019-06-28T13:20:00.000Z;8866.076666666666
txCacheSize;2019-06-28T14:10:00.000Z;11876.490000000002
txCacheSize;2019-06-28T15:00:00.000Z;11078.24
txCacheSize;2019-06-28T15:50:00.000Z;12455.886666666667
txCacheSize;2019-06-28T16:40:00.000Z;10527.593333333334
txCacheSize;2019-06-28T17:30:00.000Z;10820.666666666666
txCacheSize;2019-06-28T18:20:00.000Z;10812.07
txCacheSize;2019-06-28T19:10:00.000Z;10676.26
txCacheSize;2019-06-28T20:00:00.000Z;11118.856666666665
txCacheSize;2019-06-28T20:50:00.000Z;11022.076666666666
txCacheSize;2019-06-28T21:40:00.000Z;10560.68
txCacheSize;2019-06-28T22:30:00.000Z;9751.039999999999
txCacheSize;2019-06-28T23:20:00.000Z;10195.279999999999
txCacheSize;2019-06-29T00:10:00.000Z;9525.216666666665
txCacheSize;2019-06-29T01:00:00.000Z;9582.773333333334
txCacheSize;2019-06-29T01:50:00.000Z;11861.946666666667
txCacheSize;2019-06-29T02:40:00.000Z;11137.439999999999
txCacheSize;2019-06-29T03:30:00.000Z;8736.85
txCacheSize;2019-06-29T04:20:00.000Z;9344.096666666668
txCacheSize;2019-06-29T05:10:00.000Z;8117.216666666665
txCacheSize;2019-06-29T06:00:00.000Z;8812.97
txCacheSize;2019-06-29T06:50:00.000Z;8428.92
txCacheSize;2019-06-29T07:40:00.000Z;8966.943333333333
txCacheSize;2019-06-29T08:30:00.000Z;7941.103333333334
txCacheSize;2019-06-29T09:20:00.000Z;7049.646666666666
txCacheSize;2019-06-29T10:10:00.000Z;10303.613333333333
txCacheSize;2019-06-29T11:00:00.000Z;7774.089999999999
txCacheSize;2019-06-29T11:50:00.000Z;6346.13
txCacheSize;2019-06-29T12:40:00.000Z;10524.616666666665
txCacheSize;2019-06-29T13:30:00.000Z;9944.443333333333
txCacheSize;2019-06-29T14:20:00.000Z;10624.27
txCacheSize;2019-06-29T15:10:00.000Z;9708.75
txCacheSize;2019-06-29T16:00:00.000Z;8212.746666666668
txCacheSize;2019-06-29T16:50:00.000Z;7907.426666666666
txCacheSize;2019-06-29T17:40:00.000Z;11734.27
txCacheSize;2019-06-29T18:30:00.000Z;10477.936666666666
txCacheSize;2019-06-29T19:20:00.000Z;10190.5
txCacheSize;2019-06-29T20:10:00.000Z;10885.646666666666
txCacheSize;2019-06-29T21:00:00.000Z;8498.883333333333
txCacheSize;2019-06-29T21:50:00.000Z;10346.55
txCacheSize;2019-06-29T22:40:00.000Z;5919.656666666666
txCacheSize;2019-06-29T23:30:00.000Z;4938.036666666666
