Series,Time,Value
Fees in satoshis / TX,2019-06-17T11:30:00.000Z,32247.051559947246
Fees in satoshis / TX,2019-06-17T12:20:00.000Z,31067.296304283453
Fees in satoshis / TX,2019-06-17T13:10:00.000Z,36563.683453128906
Fees in satoshis / TX,2019-06-17T14:00:00.000Z,32184.70492662565
Fees in satoshis / TX,2019-06-17T14:50:00.000Z,41198.48846338289
Fees in satoshis / TX,2019-06-17T15:40:00.000Z,38512.43908391555
Fees in satoshis / TX,2019-06-17T16:30:00.000Z,35172.40419211193
Fees in satoshis / TX,2019-06-17T17:20:00.000Z,35498.54221217472
Fees in satoshis / TX,2019-06-17T18:10:00.000Z,37094.09699282233
Fees in satoshis / TX,2019-06-17T19:00:00.000Z,32877.22192794317
Fees in satoshis / TX,2019-06-17T19:50:00.000Z,32256.315176149557
Fees in satoshis / TX,2019-06-17T20:40:00.000Z,34459.83410685308
Fees in satoshis / TX,2019-06-17T21:30:00.000Z,35239.93293741415
Fees in satoshis / TX,2019-06-17T22:20:00.000Z,37356.99561940072
Fees in satoshis / TX,2019-06-17T23:10:00.000Z,35657.0925203892
Fees in satoshis / TX,2019-06-18T00:00:00.000Z,31990.356307216534
Fees in satoshis / TX,2019-06-18T00:50:00.000Z,28367.934578536624
Fees in satoshis / TX,2019-06-18T01:40:00.000Z,36380.43014498244
Fees in satoshis / TX,2019-06-18T02:30:00.000Z,37273.42952727337
Fees in satoshis / TX,2019-06-18T03:20:00.000Z,36002.05185742868
Fees in satoshis / TX,2019-06-18T04:10:00.000Z,35454.23051650744
Fees in satoshis / TX,2019-06-18T05:00:00.000Z,34669.97481786237
Fees in satoshis / TX,2019-06-18T05:50:00.000Z,30924.708062908543
Fees in satoshis / TX,2019-06-18T06:40:00.000Z,31174.63738926412
Fees in satoshis / TX,2019-06-18T07:30:00.000Z,31765.26069265497
Fees in satoshis / TX,2019-06-18T08:20:00.000Z,28466.24596555887
Fees in satoshis / TX,2019-06-18T09:10:00.000Z,32542.45301860416
Fees in satoshis / TX,2019-06-18T10:00:00.000Z,31235.75341091507
Fees in satoshis / TX,2019-06-18T10:50:00.000Z,28154.573285746686
Fees in satoshis / TX,2019-06-18T11:40:00.000Z,28723.485307541938
Fees in satoshis / TX,2019-06-18T12:30:00.000Z,31765.104686176295
Fees in satoshis / TX,2019-06-18T13:20:00.000Z,27610.227586946985
Fees in satoshis / TX,2019-06-18T14:10:00.000Z,26333.684252508236
Fees in satoshis / TX,2019-06-18T15:00:00.000Z,29584.34354744836
Fees in satoshis / TX,2019-06-18T15:50:00.000Z,35560.9763155004
Fees in satoshis / TX,2019-06-18T16:40:00.000Z,29534.38546892527
Fees in satoshis / TX,2019-06-18T17:30:00.000Z,30551.58852953946
Fees in satoshis / TX,2019-06-18T18:20:00.000Z,41485.672133188964
Fees in satoshis / TX,2019-06-18T19:10:00.000Z,32147.231031959684
Fees in satoshis / TX,2019-06-18T20:00:00.000Z,29758.2210287632
Fees in satoshis / TX,2019-06-18T20:50:00.000Z,30078.433403761206
Fees in satoshis / TX,2019-06-18T21:40:00.000Z,28681.517995752685
Fees in satoshis / TX,2019-06-18T22:30:00.000Z,27423.382088196133
Fees in satoshis / TX,2019-06-18T23:20:00.000Z,19240.157109376352
Fees in satoshis / TX,2019-06-19T00:10:00.000Z,20393.333343035647
Fees in satoshis / TX,2019-06-19T01:00:00.000Z,24709.883061815824
Fees in satoshis / TX,2019-06-19T01:50:00.000Z,31118.489450009765
Fees in satoshis / TX,2019-06-19T02:40:00.000Z,26361.205064955982
Fees in satoshis / TX,2019-06-19T03:30:00.000Z,26127.848707303194
Fees in satoshis / TX,2019-06-19T04:20:00.000Z,27284.214408810796
Fees in satoshis / TX,2019-06-19T05:10:00.000Z,25151.75917382446
Fees in satoshis / TX,2019-06-19T06:00:00.000Z,26313.864063712692
Fees in satoshis / TX,2019-06-19T06:50:00.000Z,23705.201255570973
Fees in satoshis / TX,2019-06-19T07:40:00.000Z,28135.345370138693
Fees in satoshis / TX,2019-06-19T08:30:00.000Z,32676.263730700874
Fees in satoshis / TX,2019-06-19T09:20:00.000Z,33262.7876181288
Fees in satoshis / TX,2019-06-19T10:10:00.000Z,24910.932318098377
Fees in satoshis / TX,2019-06-19T11:00:00.000Z,28051.723256541365
Fees in satoshis / TX,2019-06-19T11:50:00.000Z,34902.135246800906
Fees in satoshis / TX,2019-06-19T12:40:00.000Z,33894.80814396756
Fees in satoshis / TX,2019-06-19T13:30:00.000Z,36665.16109280039
Fees in satoshis / TX,2019-06-19T14:20:00.000Z,33652.96992435661
Fees in satoshis / TX,2019-06-19T15:10:00.000Z,31771.695519167108
Fees in satoshis / TX,2019-06-19T16:00:00.000Z,29811.345631296503
Fees in satoshis / TX,2019-06-19T16:50:00.000Z,26341.996868950017
