Series,Time,Value
txCacheSize,2017-07-16T19:00:00.000Z,4647.934834834837
txCacheSize,2017-07-17T13:30:00.000Z,5481.481681681682
txCacheSize,2017-07-18T08:00:00.000Z,5437.466216216218
txCacheSize,2017-07-19T02:30:00.000Z,5471.145795795795
txCacheSize,2017-07-19T21:00:00.000Z,4451.293393393391
txCacheSize,2017-07-20T15:30:00.000Z,5412.479879879881
txCacheSize,2017-07-21T10:00:00.000Z,5271.992042042042
txCacheSize,2017-07-22T04:30:00.000Z,4618.709759759759
txCacheSize,2017-07-22T23:00:00.000Z,3428.8064564564547
txCacheSize,2017-07-23T17:30:00.000Z,4653.6743243243245
txCacheSize,2017-07-24T12:00:00.000Z,4796.108258258257
txCacheSize,2017-07-25T06:30:00.000Z,5487.126576576576
txCacheSize,2017-07-26T01:00:00.000Z,5461.265465465466
txCacheSize,2017-07-26T19:30:00.000Z,4993.625975975977
txCacheSize,2017-07-27T14:00:00.000Z,5031.261711711713
txCacheSize,2017-07-28T08:30:00.000Z,5709.87024024024
txCacheSize,2017-07-29T03:00:00.000Z,5012.738888888889
txCacheSize,2017-07-29T21:30:00.000Z,4231.903303303303
txCacheSize,2017-07-30T16:00:00.000Z,5185.067117117119
txCacheSize,2017-07-31T10:30:00.000Z,5399.163663663662
txCacheSize,2017-08-01T05:00:00.000Z,3818.6151651651653
txCacheSize,2017-08-01T23:30:00.000Z,5057.709159159159
txCacheSize,2017-08-02T18:00:00.000Z,4901.37012012012
txCacheSize,2017-08-03T12:30:00.000Z,5509.522522522522
txCacheSize,2017-08-04T07:00:00.000Z,4666.952852852853
txCacheSize,2017-08-05T01:30:00.000Z,5003.788288288289
txCacheSize,2017-08-05T20:00:00.000Z,4260.972972972973
txCacheSize,2017-08-06T14:30:00.000Z,4596.12054054054
txCacheSize,2017-08-07T09:00:00.000Z,5684.416516516516
txCacheSize,2017-08-08T03:30:00.000Z,5692.353453453454
txCacheSize,2017-08-08T22:00:00.000Z,5628.565015015013
txCacheSize,2017-08-09T16:30:00.000Z,5567.05840840841
txCacheSize,2017-08-10T11:00:00.000Z,5623.488288288289
txCacheSize,2017-08-11T05:30:00.000Z,5759.606936936938
txCacheSize,2017-08-12T00:00:00.000Z,5811.896246246246
txCacheSize,2017-08-12T18:30:00.000Z,5644.854804804804
txCacheSize,2017-08-13T13:00:00.000Z,5465.675885885885
txCacheSize,2017-08-14T07:30:00.000Z,5723.2719219219225
txCacheSize,2017-08-15T02:00:00.000Z,5677.134084084084
txCacheSize,2017-08-15T20:30:00.000Z,5477.613363363362
txCacheSize,2017-08-16T15:00:00.000Z,5920.886936936937
txCacheSize,2017-08-17T09:30:00.000Z,5469.4983483483475
txCacheSize,2017-08-18T04:00:00.000Z,5535.275525525526
txCacheSize,2017-08-18T22:30:00.000Z,5620.648198198197
txCacheSize,2017-08-19T17:00:00.000Z,5594.105405405406
txCacheSize,2017-08-20T11:30:00.000Z,5446.527027027026
txCacheSize,2017-08-21T06:00:00.000Z,5783.598348348349
txCacheSize,2017-08-22T00:30:00.000Z,5755.465315315316
txCacheSize,2017-08-22T19:00:00.000Z,5653.681531531529
txCacheSize,2017-08-23T13:30:00.000Z,5766.669969969968
txCacheSize,2017-08-24T08:00:00.000Z,5156.122372372373
txCacheSize,2017-08-25T02:30:00.000Z,5156.687237237236
txCacheSize,2017-08-25T21:00:00.000Z,5884.851801801801
txCacheSize,2017-08-26T15:30:00.000Z,5835.20870870871
txCacheSize,2017-08-27T10:00:00.000Z,5079.500900900902
txCacheSize,2017-08-28T04:30:00.000Z,5631.885135135133
txCacheSize,2017-08-28T23:00:00.000Z,5854.594594594596
txCacheSize,2017-08-29T17:30:00.000Z,5393.6255255255255
txCacheSize,2017-08-30T12:00:00.000Z,5656.633633633632
txCacheSize,2017-08-31T06:30:00.000Z,5601.3208708708735
txCacheSize,2017-09-01T01:00:00.000Z,5159.029429429432
txCacheSize,2017-09-01T19:30:00.000Z,4475.743093093094
txCacheSize,2017-09-02T14:00:00.000Z,4465.524474474473
txCacheSize,2017-09-03T08:30:00.000Z,5586.034444444443
txCacheSize,2017-09-04T03:00:00.000Z,8005.8321321321355
txCacheSize,2017-09-04T21:30:00.000Z,7359.133633633634
txCacheSize,2017-09-05T16:00:00.000Z,6984.868018018018
txCacheSize,2017-09-06T10:30:00.000Z,8256.225375375376
txCacheSize,2017-09-07T05:00:00.000Z,7178.682432432433
txCacheSize,2017-09-07T23:30:00.000Z,7728.509309309309
txCacheSize,2017-09-08T18:00:00.000Z,6349.661921921926
txCacheSize,2017-09-09T12:30:00.000Z,6030.253003003006
txCacheSize,2017-09-10T07:00:00.000Z,8139.607507507509
txCacheSize,2017-09-11T01:30:00.000Z,6632.522372372376
txCacheSize,2017-09-11T20:00:00.000Z,6913.8843243243255
txCacheSize,2017-09-12T14:30:00.000Z,6433.2487987988
txCacheSize,2017-09-13T09:00:00.000Z,6269.1540540540545
txCacheSize,2017-09-14T03:30:00.000Z,7443.497897897899
txCacheSize,2017-09-14T22:00:00.000Z,7833.9174174174195
txCacheSize,2017-09-15T16:30:00.000Z,7398.391141141143
txCacheSize,2017-09-16T11:00:00.000Z,5809.469069069069
txCacheSize,2017-09-17T05:30:00.000Z,6068.011711711711
txCacheSize,2017-09-18T00:00:00.000Z,7579.755165165168
txCacheSize,2017-09-18T18:30:00.000Z,9186.393710691824
txCacheSize,2017-09-19T13:00:00.000Z,8720.816816816816
txCacheSize,2017-09-20T07:30:00.000Z,8539.840690690686
txCacheSize,2017-09-21T02:00:00.000Z,7131.4021021021035
txCacheSize,2017-09-21T20:30:00.000Z,6477.029939939939
txCacheSize,2017-09-22T15:00:00.000Z,7434.19174174174
txCacheSize,2017-09-23T09:30:00.000Z,5028.5368768768785
txCacheSize,2017-09-24T04:00:00.000Z,5817.062162162165
txCacheSize,2017-09-24T22:30:00.000Z,8374.752552552554
txCacheSize,2017-09-25T17:00:00.000Z,9020.995495495497
txCacheSize,2017-09-26T11:30:00.000Z,8054.3316816816805
txCacheSize,2017-09-27T06:00:00.000Z,8723.261411411411
txCacheSize,2017-09-28T00:30:00.000Z,7578.4932432432415
txCacheSize,2017-09-28T19:00:00.000Z,8087.394594594596
txCacheSize,2017-09-29T13:30:00.000Z,6078.162162162161
txCacheSize,2017-09-30T08:00:00.000Z,9033.011411411415
txCacheSize,2017-10-01T02:30:00.000Z,7696.395795795795
txCacheSize,2017-10-01T21:00:00.000Z,9028.626576576578
txCacheSize,2017-10-02T15:30:00.000Z,7874.293993993993
txCacheSize,2017-10-03T10:00:00.000Z,7668.590240240241
txCacheSize,2017-10-04T04:30:00.000Z,8221.174324324324
txCacheSize,2017-10-04T23:00:00.000Z,9151.501501501501
txCacheSize,2017-10-05T17:30:00.000Z,8505.800270270269
txCacheSize,2017-10-06T12:00:00.000Z,8545.523873873872
txCacheSize,2017-10-07T06:30:00.000Z,7002.871471471471
txCacheSize,2017-10-08T01:00:00.000Z,6356.4578078078075
txCacheSize,2017-10-08T19:30:00.000Z,7682.296246246245
txCacheSize,2017-10-09T14:00:00.000Z,8856.73963963964
txCacheSize,2017-10-10T08:30:00.000Z,9379.484534534535
txCacheSize,2017-10-11T03:00:00.000Z,9491.89099099099
txCacheSize,2017-10-11T21:30:00.000Z,8361.495945945948
txCacheSize,2017-10-12T16:00:00.000Z,9599.653753753753
txCacheSize,2017-10-13T10:30:00.000Z,9702.399099099102
txCacheSize,2017-10-14T05:00:00.000Z,8981.389189189189
txCacheSize,2017-10-14T23:30:00.000Z,7485.224624624625
txCacheSize,2017-10-15T18:00:00.000Z,6913.505225225222
txCacheSize,2017-10-16T12:30:00.000Z,8542.11141141141
txCacheSize,2017-10-17T07:00:00.000Z,9422.381081081083
txCacheSize,2017-10-18T01:30:00.000Z,9134.508558558558
txCacheSize,2017-10-18T20:00:00.000Z,9231.46006006006
txCacheSize,2017-10-19T14:30:00.000Z,8150.646846846847
txCacheSize,2017-10-20T09:00:00.000Z,9387.352372372372
txCacheSize,2017-10-21T03:30:00.000Z,9039.709309309308
txCacheSize,2017-10-21T22:00:00.000Z,8076.158708708708
txCacheSize,2017-10-22T16:30:00.000Z,8623.886846846848
txCacheSize,2017-10-23T11:00:00.000Z,9183.325015015016
txCacheSize,2017-10-24T05:30:00.000Z,9457.101051051051
txCacheSize,2017-10-25T00:00:00.000Z,8349.481681681682
txCacheSize,2017-10-25T18:30:00.000Z,7029.52147147147
txCacheSize,2017-10-26T13:00:00.000Z,8714.712012012013
txCacheSize,2017-10-27T07:30:00.000Z,9784.64984984985
txCacheSize,2017-10-28T02:00:00.000Z,9787.778828828832
txCacheSize,2017-10-28T20:30:00.000Z,9035.73768768769
txCacheSize,2017-10-29T15:00:00.000Z,9794.345795795793
