,time,neu,neu_clean,pos,pos_clean,neg,neg_clean,com,com_clean,close,high,low,open,volumefrom,volumeto,price_delta,delta_bool
0,2019-07-24 14:00:00,0.8510111576011155,0.7114793119479313,0.10964853556485343,0.2148628544862858,0.039343561134356074,0.07366155276615521,0.15256652719665265,0.14497243142724317,9860.07,9875.54,9683.07,9711.84,4233.0,41513730.45,148.22999999999956,1
1,2019-07-24 15:00:00,0.8580032410135525,0.7260276959340004,0.10356157925751328,0.20460518562168545,0.03843517972893337,0.06936652916912199,0.1420010312315851,0.13863131997642902,9905.01,9920.54,9850.87,9860.07,2852.01,28208057.96,44.94000000000051,1
2,2019-07-24 16:00:00,0.8484154469012763,0.7180488944254113,0.11305325443786977,0.21582155091871738,0.0385325443786982,0.06612986608533174,0.15539227654936136,0.1543764559327311,9577.34,9911.49,9535.78,9905.01,6650.74,64171787.29,-327.6700000000001,0
3,2019-07-24 17:00:00,0.8476351493848878,0.7089760984182769,0.11348224956063252,0.22060984182776752,0.03888295254833037,0.07041089630931455,0.15284014059753945,0.1560240070298769,9614.62,9656.57,9555.39,9577.34,2236.3,21506015.62,37.280000000000655,1
4,2019-07-24 18:00:00,0.847357195571957,0.7028889298892974,0.1092538745387454,0.22050996309963142,0.04339114391143909,0.07660221402214017,0.1427725092250924,0.15267317343173453,9633.66,9673.43,9612.8,9614.62,1195.08,11527223.66,19.039999999999054,1
5,2019-07-24 19:00:00,0.8510522772277234,0.7129754455445548,0.10871564356435644,0.210901782178218,0.04023049504950493,0.07611801980198016,0.15120906930693082,0.14410586138613862,9648.77,9698.26,9573.48,9633.66,2732.32,26369564.34,15.110000000000582,1
6,2019-07-24 20:00:00,0.8489892841834545,0.7071783111873114,0.1095473639091298,0.21656236605229334,0.041460780111444454,0.07626060865837972,0.15499425632233169,0.14662421774539228,9675.1,9724.71,9566.73,9648.77,2155.28,20798268.05,26.329999999999927,1
7,2019-07-24 21:00:00,0.8520906768837814,0.7190370370370363,0.10764495530012765,0.2136666666666666,0.04026819923371648,0.0672988505747126,0.1421113665389527,0.14817573435504452,9777.53,9814.11,9668.94,9675.1,2083.47,20301206.42,102.43000000000029,1
26,2019-07-25 16:00:00,0.8524358974358975,0.7276923076923077,0.11529487179487177,0.19666666666666666,0.03228205128205128,0.07565384615384614,0.18637307692307692,0.15618846153846155,9988.89,10072.74,9952.21,9999.98,2600.99,26003262.67,-11.090000000000146,0
42,2019-07-26 08:00:00,0.8699106145251398,0.7586983240223463,0.09708938547486036,0.1858100558659218,0.032994413407821215,0.05548044692737432,0.1434564245810056,0.14019050279329606,9798.61,9806.04,9754.33,9782.88,760.07,7438078.07,15.730000000001382,1
